id,name,address,precincts,phone,status,lat,lon
64,Butler Street Baptist Church,315 Ralph Mcgill Blvd,02D,+17706923708,1,33.7637456111762,-84.37746681683126
65,Paul L. Dunbar School,500 Whitehall Terrace Sw,04I,+17622394760,1,33.74147295888851,-84.40158635529615
66,Pittman Park Rec Center,950 Garibaldi St,"12N,12K",+17706925834,1,33.728755276350434,-84.39905811366863
67,Liberty Baptist Church,395 Chamberlain St Se,"05B,01H,05C,01I",+17706924355,1,33.75348433069749,-84.37450196530898
68,Sutton Middle School,2875 Northside Dr,08J,+17622394588,1,33.83303835459955,-84.40654005230613
69,Sandy Springs Middle School,8750 Pride Place,"SS15A,SS15B",+17622394822,1,33.99624032790175,-84.33915645804439
70,Mimosa Elementary School,1550 Warsaw Rd,"RW07A,RW07B,AP03",,1,34.03701179978132,-84.33073182690067
71,Peachtree Hills Recreation,308 Peachtree Hills Ave Ne,"06I,07J",+14706737908,1,33.81820913886117,-84.37770855824968
72,Chattahoochee Hills City Hall,6505 Rico Rd,"CH01,CH02,CH03,CH04A,CH04B,CH05",+14708232497,1,33.57893831174674,-84.76907635389767
73,First Baptist Church of Fairburn,23 Malone St SE,FA01B,+14708232559,1,33.564193823683816,-84.5823615079711
74,Wilson Creek Elementary Sch,6115 Wilson Rd,JC07,+17706923902,1,34.03488607503644,-84.18294392740967
75,Prince Of Peace Lutheran Church,10250 Haynes Bridge Road,JC16,,1,34.029275032120346,-84.26997818737931
76,Banneker High School,6015 Feldwood Rd,"SC08A,SC08B",+17706923707,1,33.592812986384864,-84.51701990911664
77,Lebanon Church,11250 Crabapple Road,RW12,,1,34.05751596906649,-84.36366223150395
78,Bear Creek Middle School,7415 Herndon Rd,"SC07B,SC07A,SC07C",+17622394858,1,33.55695652709227,-84.62419959537696
79,"Welcome All Park, Community House",4255 Will Lee Road,"SC17A,SC17B,SC17C",+14708232240,1,33.63102969012102,-84.52753917625206
80,Peachtree Christian Church,1580 Peachtree Street Nw,"02W,03F,06L1,06L2",+14708232535,1,33.79720889483681,-84.389463176786
81,"Therrell, D.M. High School",3099 Panther Trail Sw,11M,+17622394601,1,33.69912518973144,-84.48991394163575
82,Tracey Wyatt Recreation Center,2300 Godby Rd,"CP084,CP081,CP083,CP08A,SC10",+17706923293,1,33.61594465019517,-84.46485793901314
83,Perkerson Park Rec Center,770 Deckner Ave,"12D,12G",+17706923971,1,33.71366698834065,-84.4128532078997
84,Milton Library,855 Mayfield Rd,"ML01B,ML01A",+14708858730,1,34.090421062048385,-84.3364919479729
85,East Roswell Library,2301 Holcomb Bridge Road,RW20,,1,34.00308622114152,-84.2939010097745
86,Ralph Bunche Middle School,1925 Niskey Lake Rd Sw,11B,+17622394772,1,33.701593450852116,-84.53006179746016
87,West Manor Park,3240 West Manor Cir,"10B,10I",+14708858612,1,33.73568302443257,-84.49194511693803
88,Grove Park Recreation Center,750 Francis Pl Nw,"03H,03B,09I",+14703001201,1,33.775113026089144,-84.43854737528629
89,Northwest Library at Scotts Crossing,2489 Perry Blvd Nw,09K,+14708232753,1,33.8054004836194,-84.47000308574225
90,Metropolitan Library,1332 Metropolitan Pkwy Sw,12A,+14708231799,1,33.718507713282115,-84.40742144612841
91,Palmetto Library,9111 Cascade Palmetto Hwy,PA01,+17706923406,1,33.53049953816121,-84.66405224498021
92,South Atlanta High School,800 Hutchens Rd,12M,+17622394918,1,33.66861812343581,-84.36377699822813
93,North Annex,7741 Roswell Rd,SS19B,+14708232597,1,33.96559602327481,-84.36204313955831
94,Mountain Park Community Center,100 Lakeshore Dr,MP01,,1,34.08279550107281,-84.41573298444729
95,Alpharetta Library,10 Park Plaza,AP10,+17622394849,1,34.07373963652497,-84.2925119146093
96,Helene S. Mills Senior Center,515 John Wesley Dobbs Ave NE,02G,+14708858587,1,33.7590864235321,-84.37074998751402
97,Wolf Creek Library,3100 Enon Rd Sw,SC20,+14708858606,1,33.67271220998752,-84.57460574246183
98,Cleveland Avenue School,2672 Old Hapeville Rd,"12H1,12H2,12E2",+17706924800,1,33.68242554666499,-84.39398852039382
99,Findley Oaks Elementary School,5880 Findley Chase Drive,"JC03A,JC03B",+17706924792,1,34.06069624176337,-84.1861370631277
100,Temple Emanuel,1580 Spalding Dr,SS17,+14708232463,1,33.97424334676311,-84.33331792271532
101,The Enon Church,3550 Enon Rd,SC15,+14708232443,1,33.65783176594558,-84.59138212497427
102,Jefferson Recreation Center,1431 Norman Berry Drive,"EP02A,EP02C",+17622394661,1,33.682440822869985,-84.43562402153704
103,Brookview Elememtary Sch,3250 Hammarskjold Dr,EP04A,+14707192529,1,33.64734805563115,-84.49476669746517
104,St. Stephens Miss. Baptist Church,2670 Hogan Rd,EP03A,,1,33.677733085214875,-84.47627715149909
105,New Life Presbyterian Church,6600 Old National Hwy,SC23A,+17706923898,1,33.57478231988108,-84.46878118030587
106,Johns Creek Environmental Campus,8100 Holcomb Bridge Rd,RW21,,1,33.977343821315024,-84.26669202353374
107,Central United Methodist Ch,501 Mitchell St,04J,+17706927016,1,33.75401597909084,-84.40374523224327
108,William Walker Recreation Center,2405 Fairburn Rd Sw,"11E1,11E2",+14706736576,1,33.689396121492784,-84.51194910146349
109,Hoyt Smith Center,3444 N Fulton Ave,HP01,+17706924794,1,33.659858649767564,-84.40798329238281
110,Alpharetta High School,3595 Webb Bridge Rd,"AP12A,AP12B,AP12C,AP12D",+14708232381,1,34.077950061662214,-84.25476137783558
111,River Eves Elementary,9000 Eves Road,RW04,,1,33.9952023158087,-84.31285832561501
112,Elkins Pointe Middle School,11290 Elkins Road,RW05,,1,34.05431357292621,-84.33452328885063
113,"Jackson, Esther S Elem School",1400 Martin Rd,RW17,,1,34.010672584290155,-84.31690664715349
114,Christian City - Sparks Auditorium,7290 Lester Rd,"UC033,UC035,SC21A",,1,33.55517692109897,-84.52430131516198
115,Georgia State University - 2nd Floor,3775 Brookside Pkwy,AP01E,,1,34.0609477776606,-84.25322179190572
116,Sandtown Park Recreation Center,5320 Campbellton Rd,"SC16A,FC03",+17706926149,1,33.703202793955896,-84.56361107077292
117,Harvest Rain Church,8567 Bohannon Rd,FA01C,+17622394744,1,33.52509961440291,-84.58624979145024
118,Allen Temple AME Church,1625 Joseph E Boone Blvd Nw,03A,+17622394949,1,33.76373587789479,-84.44164374791782
119,C.T. Martin Natatorium & Recreation Center,3201 M L King Jr Dr SW,10D,+14708239963,1,33.75369764701158,-84.49162745699867
120,The Kindezi School - West,286 Wilson Mill Road,10A,+17706927065,1,33.75508584990344,-84.51426652798966
121,Saint Mary's Orthodox Church,1950 Old Alabama Rd,RW06,,1,34.02581012382259,-84.30218881798564
122,Creel Park,2775 Creel Road,"SC11B,SC29B",+17632394593,1,33.56713786075041,-84.483238862159
123,Dolvin Elementary School,10495 Jones Bridge Road,"JC14,JC15",+17706926149,1,34.03737118189869,-84.23362969131362
124,Webb Bridge Middle School,4455 Webb Bridge Rd,"AP09A,AP09B",+14708232436,1,34.066808787239474,-84.2296219166866
125,Haynes Bridge Middle School,10665 Haynes Bridge Rd,"AP01C,AP01D",,1,34.039832635344204,-84.28263125590564
126,New Prospect Elementary,3055 Kimball Bridge Rd,AP01A,+17622394176,1,34.05170416239968,-84.2720983284992
127,Aviation Community Cultural Center,3900 Aviation Cir Nw,FC02,+14708232581,1,33.773446806052085,-84.5166940087453
128,Wills Recreation Center,11925 Wills Rd,"AP02B,AP022",+14706737783,1,34.07137691204575,-84.31132847488674
129,S L Lewis Elementary School,6201 Connell Road,SC29A,+17622394660,1,33.5762702186234,-84.5022496932771
130,Collier Park Recreation Center,3691 Collier Dr NW,10P,+14708858562,1,33.768823981570975,-84.50683098458437
131,Manning Oaks Elementary School,405 Cumming St,ML06A,+14708232998,1,34.08432122860636,-84.27639848406864
132,Cambridge High School,2845 Bethany Bend,ML06B,+14706736949,1,34.11957515399597,-84.27438929491562
133,Langston Hughes High School,7510 Hall Road,SC13,+14708232288,1,33.61715679607887,-84.63143063238441
134,Cliftondale Church,4095 Stonewall Tell Rd,SC05B,+14708858721,1,33.64402948680248,-84.58967978373715
135,Christian City Welcome Center,7345 Red Oak Rd,"UC031,UC032",+17622394552,1,33.55581027394165,-84.52148586726315
136,Woodland Elem. School,1130 Spalding Dr,SS20,+17706923393,1,33.95995305696582,-84.35011402841054
137,Birmingham Falls Elem,14865 Birmingham Hwy,"ML02A,ML02B",+17706923751,1,34.14440270618877,-84.34248882572841
138,Cogburn Woods Elem School,13080 Cogburn Rd,ML05,+14708232109,1,34.102074220026374,-84.27980487653551
139,Louise Watley Library at Southeast Atlanta,1463 Pryor Road Sw,01J,+14708232022,1,33.714587970530324,-84.3938041932945
140,Coretta Scott King Young Women's Academy,1190 Northwest Dr NW,09B,+14708239951,1,33.78974568937611,-84.47905426505304
141,Southwest Regional Library,3665 Cascade Rd,"SC30A,SC30B,SC14A",+14708858716,1,33.723560161246375,-84.50731331225262
142,Washington Park Library,1116 M L King Jr Dr Sw,"03D,04A",+17622394743,1,33.75407791293001,-84.42419720695433
143,Flipper Temple AME Church,580 Atlanta Student Movement Blvd,04B,+14707699958,1,33.74903912362974,-84.40672908954411
144,M28 Church,1150 Niles Avenue,03M,+17622394941,1,33.782579733878116,-84.424938794072
145,Morehouse College-Archer Hall,876 Atlanta Student Movement Blvd,04W,+17622394431,1,33.749032590072396,-84.41686543457023
146,Concord Baptist Church,3270 Boulder Park Dr SW,10R,+17706927150,1,33.75068671747086,-84.4948527456033
147,Adams Park Library,2231 Campbellton Rd SW,"11G,12I",+14708232549,1,33.705269492398465,-84.46166698325307
148,Sandy Springs Library,395 Mount Vernon Hwy Ne,"SS06,SS31",+17622394784,1,33.92430153935762,-84.37441120739065
149,Roswell Library,115 Norcross St,RW11A,+14708232532,1,34.02528506133781,-84.35778903040598
150,Church Of The Redeemer,5185 Peachtree Dunwoody Rd,SS11A,+17622394767,1,33.89637648155365,-84.3521590950338
151,Tuskegee Airmen Academy,1626 Westhaven Dr SW,"04X1,04X2",+17706925831,1,33.73267901563672,-84.44100675266847
152,Beecher Hills Elementary School,2257 Bollingbrook Dr SW,"10K,11H",+17706924795,1,33.73479734374944,-84.4631233229045
153,Heard Ferry Elementary School,6151 Powers Ferry Rd NW,SS16,+14798232509,1,33.90973531468397,-84.42637402948489
154,FanPlex,768 Hank Aaron Dr SE,"01G,01F",+17622394795,1,33.73411842787175,-84.3876866856484
155,East Point First Mallalieu UMC,2651 Church St,EP01A,+14707699918,1,33.6827641078104,-84.4417136080896
156,Taylor Road Middle School,5150 Taylor Road,JC09,+17706924345,1,34.04821752927672,-84.21036704357492
157,Johns Creek High School,5575 State Bridge Rd,JC11,+17622394975,1,34.022428668608704,-84.19602300967773
158,Hillside Elem School,9250 Scott Rd,RW22A,+14708858624,1,34.00994806693119,-84.29602792208742
159,Feldwood Elem School,5790 Feldwood Rd,"UC01A,UC01B,UC01C,UC01D,UC01E",+14708232380,1,33.598217257549464,-84.5152577823112
160,Central Park Recreation Center,400 Merritts Ave NE,"02C,05F",+14708232551,1,33.768896042653935,-84.37473677068621
161,Independence High School,791 Mimosa Blvd,RW02,,1,34.019612190545246,-84.3629193772938
162,Abernathy Arts Center,254 Johnson Ferry Rd,"SS18A,SS18B,SS05",+17622394785,1,33.93512603005173,-84.39152015657508
163,Park Tavern,500 10th St NE,"02J,02K,06G",+14708232580,1,33.78201127551812,-84.36929450516212
164,Piedmont Park Magnolia Hall,1320 Monroe Dr,02A,+14708232166,1,33.78856342588046,-84.37277689591309
165,Saint Luke's Episcopal Church,435 Peachtree St NE,"02B,05D",+17706923411,1,33.76638041035134,-84.38518175032266
166,Ponce De Leon Library,980 Ponce De Leon Ave,06F,+17706926022,1,33.7740235018853,-84.35534058277477
167,Buckhead Library,269 Buckhead Ave,07D,+14708232527,1,33.83761955629796,-84.37940279486457
168,Northside Library,3295 Northside Pkwy,08D,+14708232489,1,33.845065929364026,-84.4254324493057
169,Old Adamsville Emergency Shelter,3404 Delmar Lane,10C,+14708232406,1,33.75658144052084,-84.50019437130328
170,Dr. Robert E. Fulton Reg Library,5090 Abbotts Bridge Rd,"JC04A,JC04B,JC04C",+14702643598,1,34.063954164652145,-84.21042399858669
171,Northeast/Spruill Oaks Library,9560 Spruill Road,JC12,,1,34.01446283575645,-84.22315654379359
172,Life Center Ministries Inc.,2690 Mount Vernon Road,SS01,,1,33.9607491158241,-84.29764943799952
173,Oakley Elementary School,7220 Oakley Terrace,"SC211,SC212",+14708232509,1,33.558168259044116,-84.52729875286981
174,Rosel Fann Recreation Center,365 Cleveland Ave SE,12J,+17706923484,1,33.680093791918466,-84.37906830248386
175,Cleveland Avenue Library,47 Cleveland Ave,12E1,+14706736627,1,33.68130214453612,-84.39160801696323
176,John Birdine Neighborhood Facility,215 Lakewood Way Sw,12F,+17706926925,1,33.7007910129771,-84.39678729422243
177,Mount Carmel Baptist Church,2755 Campbellton Rd,11R,+17706934843,1,33.702091389536335,-84.47794652976803
178,Lutheran Church of the Redeemer,731 Peachtree St NE,02L1,+17622394880,1,33.77458151328852,-84.38449140508527
179,Arthur Langford Junior Recreation Center,1614 Arthur Langford Jr Pl SW,12S,+17706926568,1,33.713900911485716,-84.39507982539044
180,Center for Civil and Human Rights,100 Ivan Allen Jr Blvd NW,04F,+17622394894,1,33.76431821146107,-84.39298768007498
181,Springfield Baptist Church,1730 Hollywood Rd,09M,+17706923402,1,33.802181579911576,-84.47043997556081
182,Bolton Academy,2268 Adams Dr NW,09A,+14707699934,1,33.8172744439532,-84.45512090695037
183,Asa G. Hilliard Elementary School,3353 Mount Olive Rd,EP03B,+14706736496,1,33.664210293752646,-84.47771880682441
184,Westlake High School,2400 Union Rd,"FC01,SC01A,SC01B,SC01C",+17622394974,1,33.68834404267029,-84.57932195308365
185,The Love Center GRSBC,1680 Campbellton Rd SW,12L,+17706924783,1,33.71155926036586,-84.44281788332043
186,Sarah Smith Intermediate School,4141 Wieuca Rd NE,07C,+17706924348,1,33.86502553085539,-84.3713017139966
187,Dunbar Neighborhood Center,477 Windsor St SW,04V,+17622394998,1,33.741297817085815,-84.39847324218347
188,Bowden Senior Center,2885 Church St,EP01B,+17622394234,1,33.6769715225744,-84.44523784077836
189,Friendship Community Church,4141 Old Fairburn Rd,"SC18A,SC18B,SC18C",+17622394709,1,33.64533368773477,-84.54412516089737
190,Fowling Warehouse,1356 English St NW,09G,+14708232023,1,33.793335717723565,-84.42019000755987
191,"Rivers, E School",8 Peachtree Battle Ave NW,08L,+14708232589,1,33.81972910556385,-84.38914186518748
192,Atlanta History Center,130 West Faces Ferry Rd NW,08G,+14708232571,1,33.842164739700735,-84.38591576012793
193,Dad's Garage Theatre,569 Ezzard St SE,05A1,+14708232445,1,33.75326200711475,-84.3685609332156
194,Johns Crk United Methodist Ch,11180 Medlock Bridge Rd,JC02,+17622394633,1,34.05115128859748,-84.1751888057013
195,Open Word Christian Ministries,6230 Highway 92,FA01A,+14708232503,1,33.58682330618269,-84.59255567038025
196,Clear Springs Baptist Church,11575 Jones Bridge Rd,JC08,,1,34.06138067197613,-84.21525514932713
197,St Jude Catholic Church,7171 Glenridge Dr Ne,SS04,+17706927110,1,33.949890169145625,-84.3635822655123
198,Radcliffe Presbyterian Church,286 Hamilton E Holmes Dr NW,03C,+17706923413,1,33.76278069739156,-84.47021790532857
199,West End Library,525 Peeples Street SW,04K,+14708239962,1,33.74035090586703,-84.42079834996177
200,Georgia Tech McCamish Pavilion,965 Fowler St NW,"03I,02L2",+17706926991,1,33.78052062097434,-84.3931020632427
201,Friendship Baptist Church,80 Walnut St SW,03T,+17622394848,1,33.752583787559416,-84.40620323581916
202,David T. Howard Middle School,551 John Wesley Dobbs Ave NE,"02S,05K,05J",+17706925526,1,33.75898623218977,-84.3689573354907
203,Vickery Mill Elementary School,1201 Alpharetta St,RW03,,1,34.031409777865,-84.35147455662612
204,Morningside Elementary School,774 Virginia Ave,"06J,06B",+17622394843,1,33.782775698335165,-84.36226198852238
205,Trinity Presbyterian Church,3003 Howell Mill Road NW,"08N1,08N2",+17622394754,1,33.83665669218189,-84.41951909954355
206,Saint.Mark AME Church,3605 Campbellton Rd SW,11P,+14708232560,1,33.690410007050254,-84.50681223790377
207,Deerwood Elementary School,3070 Fairburn Rd SW,11E3,+14708232296,1,33.671456731832784,-84.51394188796574
208,American Legion Alpharetta,201 Wills Rd,AP021,+17622394670,1,34.073954289802934,-84.3108722767538
209,Creek View Elementary School,3995 Webb Bridge Road,AP05,+17706925832,1,34.07571659878791,-84.23955803421794
210,St. James Um Church,3000 Webb Bridge Rd,"AP01B,AP07B",+17622394993,1,34.07552610079635,-84.27216866941492
211,Alpharetta Elem School,192 Mayfield Rd,AP07A,+17622394886,1,34.08269772421563,-84.30069099124874
212,Ocee Elem School,4375 Kimball Bridge Rd,AP14,,1,34.053973475456004,-84.23213436422293
213,College Park library,3647 Main Street,CP011,+17706926061,1,33.65549777898968,-84.44937690825842
214,Impact Church,2323 Sylvan Road,"EP02B,EP02D,EP02E",+17622394891,1,33.69113347085832,-84.41892228171581
215,Camp Creek Middle School,4345 Welcome All Ter,EP04B,+14708232286,1,33.63753589734853,-84.52657632193126
216,Mount Pisgah United Methodist Church,2850 Old Alabama Rd,JC18,,1,34.02048870296068,-84.27999273921564
217,Barnwell Elementary School,9425 Barnwell Rd,JC19,+17706924818,1,34.01124118548742,-84.2517322736347
218,Hopewell Middle School,13060 Cogburn Rd,ML04,+14706737193,1,34.10108795922134,-84.2799841721524
219,Crabapple Middle School,10700 Crabapple Rd,RW01,,1,34.04026358602765,-84.36168960678619
220,Roswell North Elementary School,10525 Woodstock Rd,RW10,,1,34.03765318984583,-84.36890614077089
221,Roswell High School,11595 King Road,RW09,+14708231850,1,34.063202105388136,-84.38284021263976
222,Gladys S Dennard Library at South Fulton,4055 Flat Shoals Rd,"SC08C,SC08D,SC08E,SC08F,SC08G,SC08H",+17622394777,1,33.587411255494956,-84.5195387458386
223,McNair Middle School,2800 Burdett Rd,"SC09C,SC27",+17706923436,1,33.59494989409842,-84.48458591909657
224,North Springs High School,7447 Roswell Rd,SS26,+17706923823,1,33.95691799884476,-84.36445646654192
225,Spalding Drive Elem School,130 West Spalding Drive Ne,"SS02A,SS02B",+17706924801,1,33.949826988032854,-84.38245477304822
226,Heritage Hall Sandy Spring,6110 Blue Stone Rd,"SS07A,SS07B,SS07C",+17706927112,1,33.92217764756757,-84.38213180262824
227,Highpoint Elementary School,520 Greenland Rd,"SS11B,SS11C,SS11D",+14706737814,1,33.89907489635701,-84.37012539257657
228,Grant Park Recreation Center,537 Park Avenue,"01D,01E",+14707699865,1,33.739647420046936,-84.37024150999443
229,Garden Hills Elementary School,285 Sheridan Dr NE,"07E,07N",+14708858721,1,33.83160959288025,-84.3787055221789
230,Hembree Springs Elementary School,815 Hembree Rd,RW16,,1,34.06068203388106,-84.33685974560478
231,Northwood Elementary School,10200 Wooten Rd,RW13,,1,34.03001001377338,-84.30607601528743
232,"Nolan, Love T. Elementary Sch",2725 Creel Road,"SC23B,SC23C",+17706925226,1,33.57114842208268,-84.48094427928709
233,Ison Springs Elementary School,8261 Ison Rd,SS19A,+14708232481,1,33.97795221814887,-84.35363707114647
234,Sherwood Events,8610 Roswell Rd,SS22,+14708231186,1,33.990042405646285,-84.35240867967575
235,Bethune Elementary School,5925 Old Carriage Dr,SC11A,+17622394781,1,33.593223308322855,-84.48113696564165
236,World Harvest Church,320 Hardscrabble Rd,RW09A,,1,34.07233021096652,-84.36709594992185
237,Believers Bible Christian Church,3689 Campbellton Rd SW,11N,,1,33.690489051808974,-84.50915142700356
238,Morningside Prebyterian Church,1411 North Moringside Dr NE,06D1,+14708231966,1,33.79308127689973,-84.35668101801784
239,Haygood Memorial United Methodist Church,1015 E Rock Springs Rd NE,06D2,+14708858644,1,33.79682279380873,-84.3541815660178
240,River Trial Middle School,10795 Rogers Circle,JC01A,+17706927099,1,34.04345146767961,-84.12464520561142
241,New Beginnings Senior Center,66 Brooks Drive,FA01D,+17706926057,1,33.56141613527894,-84.58749730613737
242,Mount Ephraim Baptist Church,1202 West Marietta St NW,"08P,09H",+14708858783,1,33.785188260778924,-84.42692226124375
243,Woodland Middle School,2745 Stone Road,EP04C,+14708858649,1,33.66665313338465,-84.47849687865923
